Molecule,SMILES,Formula,TanimotoA,TanimotoS,MW,HeavyAtoms,AromaticHA,FractionCsp3,RotatableBonds,HBA,HBD,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,SilicosITLogP,ConsensusLogP,ESOLLogS,ESOLSolubilitymgml,ESOLSolubilitymoll,AliLogS,AliSolubilitymgml,AliSolubilitymoll,SilicosITLogSw,SilicosITSolubilitymgml,SilicosITSolubilitymoll,logKpcms,LipinskiViolations,GhoseViolations,VeberViolations,EganViolations,MueggeViolations,BioavailabilityScore,PAINSalerts,BrenkAlerts,LeadlikenessViolations,SyntheticAccessibility,TanimotoA3D,TanimotoS3D,
5419,CC(=CC(=O)N1CCC(CC1)N1CC(=O)N(C1=O)C)C,C14H21N3O3,0.258333333,0.248235294,279.33,20,0,0.64,3,3,0,86.13,60.93,2.54,0.82,-0.3,0.44,0.35,0.77,-1.89,3.59E+00,1.29E-02,-1.68,5.81E+00,2.08E-02,-0.85,3.92E+01,1.40E-01,-7.42,0,0,0,0,0,0.55,0,2,0,2.61,0.802879725,0.737774322,
5420,C#CCN1CCC(CC1)N1CC(=O)N(C1=O)c1ccccc1,C17H19N3O2,0.371410737,0.349369989,297.35,22,6,0.41,3,3,0,95.19,43.86,2.88,0.85,0.49,2.1,1.33,1.53,-2.22,1.78E+00,5.99E-03,-1.35,1.32E+01,4.42E-02,-2.65,6.66E-01,2.24E-03,-7.51,0,0,0,0,0,0.55,0,2,0,2.53,0.79826979,0.758183476,
5421,N#CCN1CCC(CC1)N1CC(=O)N(C1=O)c1ccccc1,C16H18N4O2,0.37593985,0.348797251,298.34,22,6,0.44,3,4,0,91.97,67.65,2.28,0.52,0.3,1.05,0.64,0.96,-2.02,2.84E+00,9.53E-03,-1.51,9.19E+00,3.08E-02,-2.65,6.63E-01,2.22E-03,-7.75,0,0,0,0,0,0.55,0,2,0,2.33,0.800920598,0.721148914,
5422,C/C=C/C(=O)N1CCC(CC1)N1CC(=O)N(C1=O)C1CC1,C15H21N3O3,0.268323773,0.258196721,291.35,21,0,0.67,4,3,0,88.82,60.93,2.58,0.75,-0.23,1.1,0.62,0.97,-1.85,4.07E+00,1.40E-02,-1.61,7.17E+00,2.46E-02,-0.67,6.19E+01,2.12E-01,-7.54,0,0,0,0,0,0.55,0,2,0,3.11,0.792413148,0.755187768,
5423,CCOC(=O)CNC(=O)c1c(OC)cc(=O)n2c1CCC2,C14H18N2O5,0.48600224,0.523010287,294.3,21,6,0.5,7,5,1,74.82,86.63,2.58,-0.24,0.1,0.41,1.42,0.85,-1.26,1.61E+01,5.46E-02,-1.12,2.23E+01,7.56E-02,-2.94,3.36E-01,1.14E-03,-8.27,0,0,0,0,0,0.55,0,0,0,2.75,0.74894549,0.712784588,
5424,C=CC(=O)NCc1ccc(c(c1)OC)OC,C12H15NO3,0.168612192,0.16587396,221.25,16,6,0.25,6,3,1,61.34,47.56,2.36,1.2,1.35,1.17,2.17,1.65,-1.85,3.13E+00,1.41E-02,-1.8,3.55E+00,1.60E-02,-3.51,6.81E-02,3.08E-04,-6.8,0,0,0,0,0,0.55,0,1,1,1.63,0.805007903,0.755531276,
5425,C=CC(=O)NCC(=O)N1CCOCC1,C9H14N2O3,0.118508655,0.117933131,198.22,14,0,0.56,5,3,1,53.89,58.64,1.82,-0.15,-1.23,-0.88,0.4,-0.01,-0.64,4.49E+01,2.27E-01,-0.63,4.68E+01,2.36E-01,-0.87,2.67E+01,1.35E-01,-7.62,0,1,0,0,1,0.55,0,1,1,2.11,0.832673017,0.765535395,
5426,C=CC(=O)NCc1ccc(nc1)n1cncc1.C=CC(=O)NCc1ccc(nc1)n1cncc1.OC=O.OC=O.OC=O,C27H30N8O8,0.255813953,0.262141603,594.58,43,22,0.07,10,12,5,153.79,231.52,3.73,0.69,0.94,-1.49,1.19,1.01,-3.68,1.24E-01,2.09E-04,-5.13,4.42E-03,7.43E-06,-3.41,2.30E-01,3.86E-04,-9.44,2,3,1,1,2,0.11,0,2,2,3.79,0.81716633,0.7,
5427,C=CC(=O)NCc1ccc(cc1)S(=O)(=O)N(C)C,C12H16N2O3S,0.181467181,0.174220129,268.33,18,6,0.25,6,4,1,69.15,74.86,2.01,2.28,1.67,0.72,0.62,1.46,-2.79,4.34E-01,1.62E-03,-3.49,8.70E-02,3.24E-04,-3.29,1.39E-01,5.18E-04,-6.32,0,0,0,0,0,0.55,0,1,0,2.06,0.864516129,0.69986345,
5428,C=CC(=O)NC1CCOc2c1cccc2,C12H13NO2,0.285087719,0.274509804,203.24,15,6,0.25,3,2,1,57.54,38.33,2.17,1.76,1.49,1.36,2.17,1.79,-2.31,1.00E+00,4.93E-03,-2.18,1.34E+00,6.57E-03,-3.19,1.32E-01,6.47E-04,-6.29,0,0,0,0,0,0.55,0,1,1,2.48,0.826043238,0.768105205,
