Molecule,SMILES,Formula,TanimotoA,TanimotoS,MW,HeavyAtoms,AromaticHA,FractionCsp3,RotatableBonds,HBA,HBD,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,SilicosITLogP,ConsensusLogP,ESOLLogS,ESOLSolubilitymgml,ESOLSolubilitymoll,AliLogS,AliSolubilitymgml,AliSolubilitymoll,SilicosITLogSw,SilicosITSolubilitymgml,SilicosITSolubilitymoll,logKpcms,LipinskiViolations,GhoseViolations,VeberViolations,EganViolations,MueggeViolations,BioavailabilityScore,PAINSalerts,BrenkAlerts,LeadlikenessViolations,SyntheticAccessibility,TanimotoA3D,TanimotoS3D,
1,FC1(F)CCNCC1.Cl,C5H10ClF2N,0.042367182,0.039537713,157.59,9,0,1,0,3,1,37.86,12.03,0,1.76,2.27,1.49,1.98,1.5,-1.93,1.87E+00,1.19E-02,-1.63,3.69E+00,2.34E-02,-1.82,2.39E+00,1.52E-02,-6.01,0,3,0,0,2,0.55,0,0,1,1.15,0.858451291,0.846115833,
2,O=Cc1cn(nc1C)C,C6H8N2O,0.118688525,0.118105516,124.14,9,5,0.33,1,2,0,33.84,34.89,1.23,0.1,0.54,-0.25,0.9,0.5,-1.02,1.19E+01,9.6E-02,-0.39,5.08E+01,4.1E-01,-1.09,1.01E+01,8.15E-02,-6.99,0,3,0,0,1,0.55,0,1,1,1.29,0.825466418,0.84422013,
3,CCC(=O)CC(=O)OC,C6H10O3,0.046948357,0.04686549,130.14,9,0,0.67,4,3,0,32.44,43.37,1.55,0.44,0.53,0.28,0.73,0.71,-0.66,2.85E+01,2.19E-01,-0.92,1.57E+01,1.21E-01,-1.06,1.12E+01,8.61E-02,-6.78,0,3,0,0,1,0.55,0,1,1,1.36,0.867978278,0.820052926,
4,N#CCc1ccc(cc1)N,C8H8N2,0.074697174,0.069427527,132.16,10,6,0.12,1,1,1,40.37,49.81,1.13,1.16,1.34,1.12,1.41,1.23,-1.77,2.25E+00,1.71E-02,-1.8,2.09E+00,1.58E-02,-2.49,4.24E-01,3.21E-03,-6.28,0,2,0,0,1,0.55,1,1,1,1,0.850951658,0.842855785,
5,COC(=O)Cc1cccn1C,C8H11NO2,0.144805195,0.147462687,153.18,11,5,0.38,3,2,0,41.56,31.23,1.99,0.49,0.74,0.44,0.97,0.93,-1.24,8.88E+00,5.8E-02,-0.72,2.95E+01,1.93E-01,-1.63,3.56E+00,2.32E-02,-6.89,0,1,0,0,1,0.55,0,0,1,1.7,0.839961031,0.809929214,
6,Oc1ccc2c(c1)OCO2,C7H6O3,0.098871931,0.096014493,138.12,10,6,0.14,0,3,1,34.53,38.69,1.57,1.23,1.12,0.55,1.48,1.19,-1.92,1.68E+00,1.22E-02,-1.64,3.16E+00,2.29E-02,-1.55,3.93E+00,2.84E-02,-6.27,0,3,0,0,1,0.55,0,0,1,2.27,0.838425544,0.790031278,
7,CCO/C=C/C#N,C5H7NO,0.021709634,0.018971848,97.12,7,0,0.4,2,2,0,26.51,33.02,1.71,0.56,1.06,-0.02,0.47,0.75,-0.66,2.11E+01,2.17E-01,-0.83,1.45E+01,1.49E-01,-0.5,3.04E+01,3.13E-01,-6.49,0,3,0,0,1,0.55,0,2,1,2.37,0.882186272,0.847919369,
8,CCOC(=O)C(=O)N,C4H7NO3,0.04040404,0.037758831,117.1,8,0,0.5,3,3,1,25.53,69.39,0.98,-0.21,-0.97,-0.95,-0.72,-0.37,-0.24,6.81E+01,5.81E-01,-0.79,1.9E+01,1.62E-01,0.1,1.48E+02,1.26E+00,-7.16,0,4,0,0,2,0.55,0,1,1,1.09,0.854965358,0.841709537,
9,[N-]=[N+]=CC(=O)OCC,C4H6N2O2,0.030934768,0.032336791,114.1,8,0,0.5,3,4,0,26.28,63.69,1.73,0.74,-0.15,-0.64,-0.98,0.14,-0.82,1.74E+01,1.53E-01,-1.66,2.52E+00,2.21E-02,-0.45,4.08E+01,3.57E-01,-6.47,0,3,0,0,2,0.55,1,3,1,1.97,0.846848524,0.829336531,
10,O=Cc1ccc[nH]1,C5H5NO,0.051386072,0.046398046,95.1,7,5,0,1,1,1,26.18,32.86,0.96,0.51,0.83,-0.56,1.61,0.67,-1.21,5.82E+00,6.12E-02,-0.77,1.61E+01,1.7E-01,-1.47,3.24E+00,3.4E-02,-6.52,0,3,0,0,1,0.55,0,1,1,1,0.873915072,0.84750228,
11,Cn1ncc(c1)B1OC(C(O1)(C)C)(C)C,C10H17BN2O2,0.187100894,0.1842723,208.07,15,5,0.7,1,3,0,59.96,36.28,0,1.22,0.72,0.3,0.29,0.51,-2.08,1.73E+00,8.33E-03,-1.58,5.48E+00,2.64E-02,-2.4,8.23E-01,3.95E-03,-6.7,0,0,0,0,0,0.55,0,1,1,2.81,0.812194711,0.765586264,
12,O=Cc1ccc(cc1)C1CCC1,C11H12O,0.098469727,0.094316808,160.21,12,6,0.36,2,1,0,49.1,17.07,2.13,2.71,2.77,2.3,3.33,2.65,-2.78,2.67E-01,1.66E-03,-2.72,3.04E-01,1.9E-03,-3.21,9.83E-02,6.14E-04,-5.35,0,0,0,0,2,0.55,0,1,1,1.13,0.830517377,0.798956852,
13,COc1c(F)cccc1B(O)O,C7H8BFO3,0.161745828,0.16716064,169.95,12,6,0.14,2,4,2,42.72,49.69,0,0.9,-0.07,0.43,-0.32,0.19,-1.7,3.4E+00,2E-02,-1.53,5.03E+00,2.96E-02,-1.69,3.48E+00,2.05E-02,-6.7,0,0,0,0,1,0.55,0,1,1,1.95,0.819307151,0.837013767,
14,FC(COS(=O)(=O)c1ccc(cc1)C)(F)F,C9H9F3O3S,0.152005175,0.145218418,254.23,16,6,0.33,4,6,0,50.58,51.75,2.34,2.56,4.6,2.55,2.09,2.83,-3.04,2.31E-01,9.07E-04,-3.29,1.29E-01,5.08E-04,-3.75,4.56E-02,1.79E-04,-6.03,0,0,0,0,0,0.55,0,1,0,2.29,0.819725075,0.770275163,
15,CCSc1ncc(cn1)C=O,C7H8N2OS,0.103078983,0.095151515,168.22,11,6,0.29,3,3,0,43.95,68.15,1.52,0.88,1.4,-0.08,1.86,1.12,-1.64,3.83E+00,2.28E-02,-1.9,2.14E+00,1.27E-02,-2.5,5.36E-01,3.18E-03,-6.7,0,1,0,0,1,0.55,0,1,1,1.53,0.829442971,0.785762581,
16,COC(=O)CCc1cnc(s1)N,C7H10N2O2S,0.140817651,0.139037433,186.23,12,5,0.43,4,3,1,47.19,93.45,1.69,0.73,0.84,-0.07,1.82,1,-1.5,5.9E+00,3.17E-02,-2.27,9.97E-01,5.36E-03,-1.82,2.81E+00,1.51E-02,-6.92,0,0,0,0,1,0.55,0,0,1,2.49,0.835684001,0.78468854,
17,COC(=O)Cn1cc(cn1)C(=O)O,C7H8N2O4,0.184713376,0.180701754,184.15,13,5,0.29,4,5,1,41.35,81.42,0.9,-0.22,-0.25,-0.59,-0.52,-0.13,-0.86,2.52E+01,1.37E-01,-1.03,1.71E+01,9.27E-02,-0.27,1E+02,5.43E-01,-7.58,0,0,0,0,1,0.56,0,0,1,2,0.814021164,0.812540701,
18,O=Nc1ccccn1,C5H4N2O,0.061620898,0.063414634,108.1,8,6,0,1,3,0,29.69,42.32,1.5,0.56,1.48,0.41,1.46,1.08,-1.35,4.81E+00,4.45E-02,-1.02,1.03E+01,9.53E-02,-1.91,1.33E+00,1.23E-02,-6.56,0,3,0,0,1,0.55,0,0,1,1.42,0.857089691,0.8316712,
19,O=Cc1ccc(o1)c1ccc(cc1)S(=O)(=O)N,C11H9NO4S,0.218671679,0.228254524,251.26,17,11,0,3,5,1,60.53,98.75,0.75,1.01,2.49,-0.47,1.16,0.99,-2.31,1.22E+00,4.84E-03,-2.67,5.33E-01,2.12E-03,-3.65,5.65E-02,2.25E-04,-7.12,0,0,0,0,0,0.55,0,1,0,2.71,0.825716373,0.760636862,
20,O=Cc1cc2ccccc2nc1Cl,C10H6ClNO,0.20012747,0.196951934,191.61,13,10,0,1,2,0,52.14,29.96,1.82,2.61,2.7,1.7,3.22,2.41,-3.18,1.28E-01,6.68E-04,-2.89,2.48E-01,1.29E-03,-4.27,1.03E-02,5.4E-05,-5.62,0,1,0,0,1,0.55,0,2,1,1.38,0.814487168,0.780732469,
21,O=C1/C(=C/c2ccncc2)/CC/C/1=C\c1ccncc1,C17H14N2O,0.150482315,0.153345175,262.31,20,12,0.12,2,3,0,79.05,42.85,2.25,2.38,3.09,1.66,4.06,2.69,-3.28,1.38E-01,5.28E-04,-2.92,3.15E-01,1.2E-03,-5.51,8.12E-04,3.1E-06,-6.21,0,0,0,0,0,0.55,1,1,0,2.65,0.840245776,0.776518356,
22,N#C/C(=C\c1ccc(cc1)OC)/C(=O)Nc1nccs1,C14H11N3O2S,0.251243781,0.268107477,285.32,20,11,0.07,5,4,1,77.09,103.25,2.06,3,2.4,0.61,3,2.21,-3.58,7.57E-02,2.65E-04,-4.83,4.2E-03,1.47E-05,-4.11,2.21E-02,7.74E-05,-5.91,0,0,0,0,0,0.55,0,2,0,2.71,0.875652238,0.790290456,
23,N#Cc1ccc(cc1)NC(=O)/C=C/C(=O)O,C11H8N2O3,0.156187955,0.146811071,216.19,16,6,0,4,4,2,56.38,90.19,1.04,1.14,0.95,0.44,0.88,0.89,-1.91,2.65E+00,1.22E-02,-2.63,5.09E-01,2.35E-03,-1.96,2.4E+00,1.11E-02,-6.81,0,0,0,0,0,0.56,0,1,1,1.88,0.910343772,0.778269909,
24,CCOC(=O)/C(=C/c1ccco1)/C#N,C10H9NO3,0.17090216,0.17626322,191.18,14,5,0.2,4,4,0,49.06,63.23,2.11,2.02,1.64,0.03,1.68,1.5,-2.3,9.62E-01,5.03E-03,-2.98,2.02E-01,1.06E-03,-2.27,1.02E+00,5.36E-03,-6.03,0,0,0,0,1,0.55,0,2,1,2.68,0.841564998,0.85439272,
25,COc1ccc(cc1)/C=C/C(=O)N1CCOCC1,C14H17NO3,0.17539267,0.178420735,247.29,18,6,0.36,4,3,0,73.04,38.77,2.78,1.41,1.08,1.05,2.34,1.73,-2.24,1.41E+00,5.7E-03,-1.83,3.67E+00,1.48E-02,-2.75,4.35E-01,1.76E-03,-6.81,0,0,0,0,0,0.55,0,1,1,2.34,0.847839651,0.774673629,
26,COc1ccc(cc1)/C=C/C(=O)N1CCCCC1,C15H19NO2,0.183673469,0.1782059,245.32,18,6,0.4,4,2,0,76.76,29.54,3.06,2.71,2.23,2.15,2.96,2.62,-3.05,2.18E-01,8.89E-04,-2.98,2.55E-01,1.04E-03,-3.29,1.25E-01,5.08E-04,-5.87,0,0,0,0,0,0.55,0,1,1,2.12,0.855414258,0.743480575,
27,C#CCSc1ccccc1C(=O)O,C10H8O2S,0.163015464,0.164196799,192.23,13,6,0.1,3,2,1,52.9,62.6,1.78,2.07,2.19,2.74,2.29,2.21,-2.48,6.37E-01,3.32E-03,-3.01,1.86E-01,9.69E-04,-2.37,8.16E-01,4.25E-03,-6,0,0,0,0,1,0.85,0,1,1,2.12,0.840834248,0.80574618,
28,O=C(/C=C/C(=O)N)NCc1ccccc1,C11H12N2O2,0.108144192,0.097104946,204.23,15,6,0.09,5,2,2,56.07,72.19,1.46,0.07,0.19,0.68,0.97,0.67,-1.12,1.56E+01,7.65E-02,-1.14,1.48E+01,7.25E-02,-2.49,6.64E-01,3.25E-03,-7.5,0,0,0,0,0,0.55,0,1,1,1.62,0.824705194,0.808667794,
29,COc1ccccc1NC(=O)/C=C/C(=O)N,C11H12N2O3,0.187866928,0.179273377,220.22,16,6,0.09,5,3,2,59.29,81.42,1.7,-0.21,0.48,0.38,0.66,0.6,-1.02,2.1E+01,9.54E-02,-1.04,1.99E+01,9.06E-02,-2.21,1.35E+00,6.12E-03,-7.79,0,0,0,0,0,0.55,0,1,1,1.95,0.812005661,0.747762709,
30,O=C(Nc1ccccc1Cl)/C=C/C(=O)N,C10H9ClN2O2,0.169435216,0.148414123,224.64,15,6,0,4,2,2,57.81,72.19,1.48,0.4,1.13,1.21,1.26,1.1,-1.52,6.83E+00,3.04E-02,-1.48,7.4E+00,3.29E-02,-2.7,4.47E-01,1.99E-03,-7.39,0,0,0,0,0,0.55,0,1,1,1.9,0.817589032,0.762106426,
31,CCOc1ccccc1NC(=O)/C=C/C(=O)N,C12H14N2O3,0.203378817,0.190645352,234.25,17,6,0.17,6,3,2,64.1,81.42,1.98,0.61,0.87,0.67,1.05,1.03,-1.54,6.73E+00,2.87E-02,-1.89,2.99E+00,1.28E-02,-2.62,5.66E-01,2.42E-03,-7.3,0,0,0,0,0,0.55,0,1,1,2.12,0.825318703,0.790790965,
32,O=C(Nc1ccc(cc1)C)/C=C/C(=O)N,C11H12N2O2,0.13,0.121597096,204.23,15,6,0.09,4,2,2,57.77,72.19,1.2,0.82,0.78,0.95,1.1,0.97,-1.65,4.52E+00,2.21E-02,-1.92,2.47E+00,1.21E-02,-2.47,6.92E-01,3.39E-03,-6.96,0,0,0,0,0,0.55,0,1,1,1.71,0.833014235,0.787357363,
33,CN(c1ccc(cc1)NC(=O)/C=C/C(=O)O)C,C12H14N2O3,0.14114514,0.128313253,234.25,17,6,0.17,5,3,2,65.87,69.64,1.51,0.77,1.14,1.07,0.52,1,-1.71,4.58E+00,1.96E-02,-1.81,3.61E+00,1.54E-02,-1.98,2.45E+00,1.05E-02,-7.18,0,0,0,0,0,0.85,1,1,1,1.95,0.835695412,0.805940594,
34,S=C1NC(=O)/C(=C\c2cccnc2)/N1,C9H7N3OS,0.230283912,0.237676056,205.24,14,6,0,1,2,2,63.25,86.11,1.04,0.61,-0.44,-0.31,2.29,0.64,-1.75,3.67E+00,1.79E-02,-1.99,2.09E+00,1.02E-02,-2.98,2.17E-01,1.06E-03,-7.12,0,1,0,0,0,0.55,0,2,1,2.51,0.839710096,0.778182497,
35,COC(=O)C(Sc1nc2c([nH]1)cccc2)C,C11H12N2O2S,0.184803606,0.182840237,236.29,16,9,0.27,4,3,1,63.52,80.28,2.18,2.65,2.22,1.5,2.45,2.2,-3.13,1.76E-01,7.47E-04,-3.99,2.43E-02,1.03E-04,-3.54,6.8E-02,2.88E-04,-5.86,0,0,0,0,0,0.55,0,0,1,2.63,0.842831773,0.758614419,
36,C=CCNc1[nH]c2c(n1)n(C)c(=O)[nH]c2=O,C9H11N5O2,0.341391509,0.378255946,221.22,16,9,0.22,3,3,3,60.68,95.57,1.14,0.24,-0.64,-0.07,1.01,0.33,-1.58,5.81E+00,2.62E-02,-1.81,3.45E+00,1.56E-02,-2.45,7.8E-01,3.52E-03,-7.48,0,1,0,0,0,0.55,0,1,1,2.3,0.854555837,0.748900328,
37,N#Cc1cccc(c1C#N)[N+](=O)[O-],C8H3N3O2,0.198713826,0.192806604,173.13,13,6,0,1,4,0,44.69,93.4,0.88,0.74,1.34,0.49,-0.37,0.62,-1.66,3.83E+00,2.21E-02,-2.28,9.08E-01,5.24E-03,-1.95,1.96E+00,1.13E-02,-6.83,0,1,0,0,1,0.55,0,2,1,2.05,0.815599082,0.789893617,
38,N#CCc1nc2c(n1C)cccc2,C10H9N3,0.192915876,0.197306792,171.2,13,9,0.2,1,2,0,50.52,41.61,1.49,1.13,1.64,0.97,1.71,1.39,-2.06,1.49E+00,8.72E-03,-1.6,4.32E+00,2.53E-02,-2.96,1.89E-01,1.1E-03,-6.54,0,0,0,0,1,0.55,0,0,1,1.58,0.869649152,0.800375235,
39,Cc1nc(N/N=C/c2ccc(c(c2)O)O)nc(c1)O,C12H12N4O3,0.241048593,0.231671554,260.25,19,12,0.08,3,6,4,70.54,110.86,1.73,1.82,1.16,-0.07,1.02,1.13,-2.87,3.51E-01,1.35E-03,-3.77,4.44E-02,1.71E-04,-2.98,2.73E-01,1.05E-03,-6.6,0,0,0,0,0,0.55,2,2,0,2.7,0.786345776,0.722402891,
40,[O-]S(=O)(=O)c1nc2c(s1)cccc2.[K+],C7H4KNO3S2,0.240993789,0.242511521,253.34,14,9,0,1,4,0,47.63,106.71,-4.45,1.51,2.28,0.58,1.47,0.28,-2.77,4.29E-01,1.69E-03,-3.36,1.11E-01,4.37E-04,-2.33,1.19E+00,4.71E-03,-6.77,0,1,0,0,0,0.55,0,1,0,2.6,0.820047289,0.73996972,
41,CCOC(=O)NC(=C(Cl)Cl)C#N,C6H6Cl2N2O2,0.101182654,0.106755127,209.03,12,0,0.33,4,3,1,44.3,62.12,1.88,1.84,1.9,0.43,0.78,1.37,-2.03,1.95E+00,9.31E-03,-2.77,3.59E-01,1.72E-03,-1.83,3.11E+00,1.49E-02,-6.27,0,1,0,0,0,0.55,0,1,1,2.81,0.857202785,0.765070584,
42,N#CC(=C(Cl)Cl)NC(=O)C(C)(C)C,C8H10Cl2N2O,0.10571241,0.111580217,221.08,13,0,0.5,3,2,1,52.18,52.89,2.04,2.48,2.32,1.09,1.58,1.9,-2.58,5.88E-01,2.66E-03,-3.24,1.29E-01,5.82E-04,-2.51,6.88E-01,3.11E-03,-5.89,0,0,0,0,0,0.55,0,1,1,2.41,0.82998997,0.829152363,
43,C=CCNC(=S)NNC(=O)c1ccc(cc1)[N+](=O)[O-],C11H12N4O3S,0.201799486,0.184471687,280.3,19,6,0.09,8,3,3,75.6,131.07,1.96,1.61,0.89,1.6,-0.16,1.18,-2.3,1.41E+00,5.04E-03,-3.97,2.97E-02,1.06E-04,-2.88,3.68E-01,1.31E-03,-6.87,0,0,0,0,0,0.55,0,4,1,2.51,0.847175573,0.791240141,
44,O=C(Nc1ccc(cc1)C)/C=C/C(=O)O,C11H11NO3,0.143047239,0.132086852,205.21,15,6,0.09,4,3,2,56.63,66.4,1.18,1.47,1.38,1.35,1.34,1.34,-2.07,1.75E+00,8.5E-03,-2.47,6.94E-01,3.38E-03,-2.25,1.14E+00,5.56E-03,-6.51,0,0,0,0,0,0.85,0,1,1,1.68,0.810085746,0.776779987,
45,O=C(NC1CCCCC1)/C=C/C(=O)O,C10H15NO3,0.117056856,0.106473079,197.23,14,0,0.6,4,3,2,52.37,66.4,1.58,1.12,1.08,0.66,0.94,1.07,-1.5,6.17E+00,3.13E-02,-2.11,1.54E+00,7.8E-03,-0.79,3.24E+01,1.64E-01,-6.71,0,0,0,0,1,0.85,0,1,1,1.98,0.830579906,0.7770051,
46,Oc1ccc(cc1)/C=[N+](/c1ccccc1)\[O-],C13H11NO2,0.139141743,0.141577061,213.23,16,12,0,2,2,1,65.53,48.98,1.98,1.61,2.65,2.54,1.18,1.99,-2.6,5.36E-01,2.52E-03,-2.25,1.2E+00,5.62E-03,-3.87,2.89E-02,1.36E-04,-6.46,0,0,0,0,0,0.55,0,3,1,2.35,0.826112122,0.737952932,
47,O=C(Nc1ccc(cc1)N1CCOCC1)/C=C/C(=O)O,C14H16N2O4,0.171936759,0.158398087,276.29,20,6,0.29,5,4,2,77.39,78.87,1.62,0.61,0.53,0.4,0.95,0.82,-1.83,4.09E+00,1.48E-02,-1.84,3.99E+00,1.44E-02,-2.05,2.49E+00,8.99E-03,-7.55,0,0,0,0,0,0.56,1,1,0,2.28,0.836325967,0.746992123,
48,COC(=O)CNc1ccccc1C(=O)O,C10H11NO4,0.187258687,0.173989455,209.2,15,6,0.2,5,4,2,53.61,75.63,1.61,1.93,0.78,-0.12,0.71,0.98,-2.32,1E+00,4.8E-03,-3.14,1.51E-01,7.21E-04,-2.31,1.02E+00,4.89E-03,-6.21,0,0,0,0,0,0.56,0,0,1,1.59,0.786662041,0.777777778,
49,O=NN(c1ccccn1)c1ccccc1,C11H9N3O,0.183776933,0.189553991,199.21,15,12,0,3,3,0,58.61,45.56,2.33,2.57,2.9,1.96,1.6,2.27,-3.09,1.63E-01,8.16E-04,-3.17,1.33E-01,6.69E-04,-3.83,2.91E-02,1.46E-04,-5.69,0,0,0,0,1,0.55,0,1,1,2.46,0.827705263,0.792377131,
50,OC(=O)C12CC3CC(C1)CC(C2)(C3)Br,C11H15BrO2,0.125896934,0.128742515,259.14,14,0,0.91,1,2,1,58.07,37.3,1.94,2.39,2.8,2.9,2.58,2.52,-2.89,3.37E-01,1.3E-03,-2.81,3.97E-01,1.53E-03,-2.4,1.04E+00,4.03E-03,-6.18,0,0,0,0,0,0.85,0,1,0,4.69,0.790614971,0.802671962,
51,CCOC(=O)CSc1nnc2c(n1)[nH]c1c2cccc1,C13H12N4O2S,0.351907935,0.356980704,288.32,20,13,0.23,5,5,1,76.62,106.06,2.12,2.21,2.16,1.7,2.62,2.16,-3.17,1.95E-01,6.75E-04,-4.07,2.44E-02,8.48E-05,-4.83,4.24E-03,1.47E-05,-6.49,0,0,0,0,0,0.55,0,0,0,2.7,0.820149486,0.776329157,
52,COc1cc(OC)ccc1C=C1C(=O)NC(=S)NC1=O,C13H12N2O4S,0.273067332,0.272990168,292.31,20,6,0.15,3,4,2,83.45,108.75,1.83,1.5,-0.25,0.06,2.76,1.18,-2.62,6.99E-01,2.39E-03,-3.39,1.19E-01,4.06E-04,-3.76,5.1E-02,1.75E-04,-7.02,0,0,0,0,0,0.55,1,3,0,2.52,0.801373106,0.692009729,
53,S=C1NC(=O)/C(=C\c2cccc(c2)O)/N1,C10H8N2O2S,0.217142857,0.226225635,220.25,15,6,0,1,2,3,67.48,93.45,1.08,1.32,-0.13,0.26,2.3,0.97,-2.27,1.19E+00,5.41E-03,-2.88,2.88E-01,1.31E-03,-2.77,3.71E-01,1.68E-03,-6.71,0,0,0,0,0,0.55,0,2,1,2.56,0.82629108,0.755233645,
54,O=C(Cc1ccccc1)OCCNC(=O)c1cccnc1.Cl,C16H17ClN2O3,0.204472843,0.190448457,320.77,22,12,0.19,8,4,1,84.39,68.29,0,2.86,2.4,1.54,2.6,1.88,-3.51,1E-01,3.12E-04,-3.95,3.57E-02,1.11E-04,-5.44,1.16E-03,3.62E-06,-6.23,0,0,0,0,0,0.55,0,0,1,2.19,0.790028913,0.766179541,
55,C=CCc1ccccc1OCC(CN1CCOCC1)O.Cl,C16H24ClNO3,0.208360129,0.20591716,313.82,21,6,0.5,7,4,1,89.79,41.93,0,3.19,1.91,1.48,2.94,1.9,-3.54,8.95E-02,2.85E-04,-3.74,5.68E-02,1.81E-04,-3.46,1.1E-01,3.5E-04,-5.95,0,0,0,0,0,0.55,0,1,0,3.1,0.854650731,0.70170179,
56,COc1ccccc1NC(=O)C(C(C)C)Br,C12H16BrNO2,0.208092486,0.208530806,286.16,16,6,0.42,5,2,1,69.54,38.33,2.84,3.22,2.86,2.51,2.71,2.83,-3.59,7.35E-02,2.57E-04,-3.7,5.74E-02,2.01E-04,-4.24,1.63E-02,5.7E-05,-5.76,0,0,0,0,0,0.55,0,1,0,2.4,0.839612913,0.744508462,
57,COc1ccc(cc1)N1C(=O)C=CC1=O,C11H9NO3,0.198045603,0.193548387,203.19,15,6,0.09,2,3,0,57.5,46.61,2.03,1.06,0.74,0.82,1.24,1.18,-1.93,2.38E+00,1.17E-02,-1.63,4.76E+00,2.34E-02,-2.29,1.05E+00,5.19E-03,-6.79,0,0,0,0,0,0.55,0,1,1,1.89,0.797631397,0.800925086,
58,N#Cc1c(NC(=O)/C=C\C(=O)O)sc2c1CCCC2,C13H12N2O3S,0.407429245,0.418384401,276.31,19,5,0.31,4,4,2,71.69,118.43,1.4,2.38,1.89,0.64,3,1.86,-2.98,2.87E-01,1.04E-03,-4.51,8.58E-03,3.1E-05,-2.33,1.31E+00,4.73E-03,-6.3,0,0,0,0,0,0.56,0,1,0,3.02,0.829853537,0.742894737,
59,SC(=Nc1ccccc1)NCc1ccccc1,C14H14N2S,0.134602758,0.129263914,242.34,17,12,0.07,4,1,1,75.68,63.19,2.58,3.46,3.24,3.41,3.41,3.22,-3.78,4.02E-02,1.66E-04,-4.47,8.24E-03,3.4E-05,-5.58,6.36E-04,2.62E-06,-5.32,0,0,0,0,0,0.55,0,3,1,2.67,0.843188269,0.721856725,
60,CNC(=O)/C(=C\c1ccco1)/NC(=O)c1ccccc1,C15H14N2O3,0.290704928,0.276059565,270.28,20,11,0.07,6,3,2,73.93,71.34,2.15,1.77,1.69,0.6,1.87,1.62,-2.64,6.17E-01,2.28E-03,-2.89,3.51E-01,1.3E-03,-4.61,6.68E-03,2.47E-05,-6.69,0,0,0,0,0,0.55,0,1,0,3.02,0.788393997,0.770895459,
61,C=CCNC(=O)c1sc2c(c1Cl)cccc2,C12H10ClNOS,0.316789216,0.306908267,251.73,16,9,0.08,4,1,1,68.97,57.34,2.77,3.82,3.47,2.89,4.49,3.49,-3.96,2.76E-02,1.1E-04,-4.72,4.8E-03,1.91E-05,-4.82,3.85E-03,1.53E-05,-5.12,0,0,0,0,0,0.55,0,1,1,2.43,0.808764285,0.693668969,
62,Nc1sc(c(n1)c1cccs1)C(=O)C(F)(F)F,C9H5F3N2OS2,0.388598022,0.407407407,278.27,17,10,0.11,3,5,1,60.22,112.46,1.59,3.12,4.47,0.85,4.49,2.9,-3.77,4.75E-02,1.71E-04,-5.15,1.97E-03,7.07E-06,-3.56,7.75E-02,2.79E-04,-5.78,0,0,0,0,0,0.55,0,0,0,2.97,0.754174557,0.740283493,
63,N#Cc1ccc(cc1)C(=O)Nc1nccs1,C11H7N3OS,0.197816313,0.189189189,229.26,16,11,0,3,3,1,61.04,94.02,1.4,2.14,2.08,0.7,2.7,1.8,-2.92,2.75E-01,1.2E-03,-3.75,4.11E-02,1.79E-04,-3.9,2.85E-02,1.24E-04,-6.18,0,0,0,0,0,0.55,0,0,1,2.11,0.856810897,0.764925373,
64,N#C/C(=C\c1ccccc1)/C(=O)Nc1ccccc1C,C17H14N2O,0.234355045,0.227699531,262.31,20,12,0.06,4,2,1,79.89,52.89,2.63,3.77,3.24,2.72,3.39,3.15,-4.02,2.5E-02,9.52E-05,-4.57,7E-03,2.67E-05,-5.48,8.67E-04,3.3E-06,-5.22,0,0,0,0,0,0.55,0,2,1,2.49,0.85089568,0.838147052,
65,N#C/C(=C\c1ccccc1)/C(=O)Nc1ccc(cc1OC)C,C18H16N2O2,0.283572767,0.287958115,292.33,22,12,0.11,5,3,1,86.38,62.12,2.97,4,3.25,2.38,3.45,3.21,-4.25,1.66E-02,5.67E-05,-5.01,2.88E-03,9.85E-06,-5.6,7.38E-04,2.52E-06,-5.24,0,0,0,0,0,0.55,0,2,1,2.6,0.796754191,0.828702981,
66,N#C/C(=C/c1ccccc1)/C(=O)NCc1ccccc1,C17H14N2O,0.182345361,0.181979846,262.31,20,12,0.06,5,2,1,78.19,52.89,2.48,3.05,2.65,2.45,3.26,2.78,-3.5,8.26E-02,3.15E-04,-3.83,3.91E-02,1.49E-04,-5.5,8.33E-04,3.18E-06,-5.73,0,0,0,0,0,0.55,0,2,0,2.39,0.797570211,0.750364338,
67,CCCOc1ccccc1NC(=O)/C=C/C(=O)N,C13H16N2O3,0.213497729,0.199881727,248.28,18,6,0.23,7,3,2,68.91,81.42,2.25,1.13,1.26,0.94,1.44,1.4,-1.88,3.3E+00,1.33E-02,-2.43,9.15E-01,3.68E-03,-3.02,2.37E-01,9.55E-04,-7.01,0,0,0,0,0,0.55,0,1,1,2.27,0.766453116,0.81161247,
68,Cc1ccc(c(c1)[N+](=O)[O-])N1C(=O)C=CC1=O,C11H8N2O4,0.286773795,0.28867165,232.19,17,6,0.09,2,4,0,64.8,83.2,1.66,1.23,0.95,0.39,-0.47,0.75,-2.18,1.52E+00,6.55E-03,-2.57,6.18E-01,2.66E-03,-1.93,2.74E+00,1.18E-02,-6.84,0,0,0,0,0,0.55,0,3,1,2.45,0.810601648,0.800458311,
